hazard,NAME_3,prob,risk,narasi
longsor,Bajo,1.0,high,"Wilayah Bajo diprediksi memiliki risiko longsor tinggi dengan probabilitas 100.0%, jauh di atas rata-rata regional (41.6%). Tutupan vegetasi (NDVI) (0.786 (indeks 0–1)) menjadi faktor pendorong utama risiko; curah hujan tahunan (3113 mm/tahun) turut berkontribusi; sementara kemiringan lereng (10.7 °) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan penghijauan dan konservasi tutupan lahan pada lereng terdegradasi untuk meningkatkan kohesi tanah (Sendai Framework Priority 3: Investing in DRR)."
longsor,Bajo Barat,0.2611,medium,"Wilayah Bajo Barat diprediksi memiliki risiko longsor sedang dengan probabilitas 26.1%, di bawah rata-rata regional (41.6%). Tutupan vegetasi (NDVI) (0.462 (indeks 0–1)) menjadi faktor pendorong utama risiko; curah hujan tahunan (3394 mm/tahun) turut berkontribusi; sementara kemiringan lereng (14.9 °) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan penghijauan dan konservasi tutupan lahan pada lereng terdegradasi untuk meningkatkan kohesi tanah (Sendai Framework Priority 3: Investing in DRR)."
longsor,Bassesangtempe,0.7686,high,"Wilayah Bassesangtempe diprediksi memiliki risiko longsor tinggi dengan probabilitas 76.9%, jauh di atas rata-rata regional (41.6%). Tutupan vegetasi (NDVI) (0.670 (indeks 0–1)) menjadi faktor pendorong utama risiko; kemiringan lereng (23.1 °) turut berkontribusi; sementara arah lereng (155.7 °) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan penghijauan dan konservasi tutupan lahan pada lereng terdegradasi untuk meningkatkan kohesi tanah (Sendai Framework Priority 3: Investing in DRR)."
longsor,Bua,0.6533,high,"Wilayah Bua diprediksi memiliki risiko longsor tinggi dengan probabilitas 65.3%, di atas rata-rata regional (41.6%). Tutupan vegetasi (NDVI) (0.600 (indeks 0–1)) menjadi faktor pendorong utama risiko; kemiringan lereng (23.7 °) turut berkontribusi; sementara arah lereng (168.4 °) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan penghijauan dan konservasi tutupan lahan pada lereng terdegradasi untuk meningkatkan kohesi tanah (Sendai Framework Priority 3: Investing in DRR)."
longsor,Bupon,0.6668,high,"Wilayah Bupon diprediksi memiliki risiko longsor tinggi dengan probabilitas 66.7%, di atas rata-rata regional (41.6%). Tutupan vegetasi (NDVI) (0.505 (indeks 0–1)) menjadi faktor pendorong utama risiko; jarak ke sungai terdekat (0.78 km) turut berkontribusi; sementara kemiringan lereng (17.5 °) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan penghijauan dan konservasi tutupan lahan pada lereng terdegradasi untuk meningkatkan kohesi tanah (Sendai Framework Priority 3: Investing in DRR)."
longsor,Kamanre,1.0,high,"Wilayah Kamanre diprediksi memiliki risiko longsor tinggi dengan probabilitas 100.0%, jauh di atas rata-rata regional (41.6%). Tutupan vegetasi (NDVI) (0.754 (indeks 0–1)) menjadi faktor pendorong utama risiko; jarak ke sungai terdekat (1.26 km) turut berkontribusi; sementara kemiringan lereng (11.0 °) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan penghijauan dan konservasi tutupan lahan pada lereng terdegradasi untuk meningkatkan kohesi tanah (Sendai Framework Priority 3: Investing in DRR)."
longsor,Larompong,0.7667,high,"Wilayah Larompong diprediksi memiliki risiko longsor tinggi dengan probabilitas 76.7%, jauh di atas rata-rata regional (41.6%). Tutupan vegetasi (NDVI) (0.542 (indeks 0–1)) menjadi faktor pendorong utama risiko; kemiringan lereng (29.1 °) turut berkontribusi; sementara arah lereng (121.6 °) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan penghijauan dan konservasi tutupan lahan pada lereng terdegradasi untuk meningkatkan kohesi tanah (Sendai Framework Priority 3: Investing in DRR)."
longsor,Larompong Selatan,0.2144,medium,"Wilayah Larompong Selatan diprediksi memiliki risiko longsor sedang dengan probabilitas 21.4%, di bawah rata-rata regional (41.6%). Kemiringan lereng (26.6 °) menjadi faktor pendorong utama risiko; jarak ke sungai terdekat (1.31 km) turut berkontribusi; sementara tutupan vegetasi (NDVI) (0.127 (indeks 0–1)) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan pemasangan sistem peringatan dini dan pembatasan aktivitas di lereng curam (Sendai Framework Priority 1: Understanding DRR)."
longsor,Latimojong,0.8025,high,"Wilayah Latimojong diprediksi memiliki risiko longsor tinggi dengan probabilitas 80.2%, jauh di atas rata-rata regional (41.6%). Tutupan vegetasi (NDVI) (0.642 (indeks 0–1)) menjadi faktor pendorong utama risiko; kemiringan lereng (22.6 °) turut berkontribusi; sementara arah lereng (216.0 °) berperan sebagai faktor penahan. Untuk pengurangan risiko bencana, direkomendasikan penghijauan dan konservasi tutupan lahan pada lereng terdegradasi untuk meningkatkan kohesi tanah (Sendai Framework Priority 3: Investing in DRR)."
longsor,Suli,1.0,high,"Wilayah Suli diprediksi memiliki risiko longsor tinggi dengan probabilitas 100.0%, jauh di atas rata-rata regional (41.6%). Tutupan vegetasi (NDVI) (0.863 (indeks 0–1)) menjadi faktor pendorong utama risiko; kemiringan lereng (19.6 °) turut berkontribusi. Untuk pengurangan risiko bencana, direkomendasikan penghijauan dan konservasi tutupan lahan pada lereng terdegradasi untuk meningkatkan kohesi tanah (Sendai Framework Priority 3: Investing in DRR)."
